Grapheme	Frequency	Codepoint	UnicodeName
तुा	1	U+0924, U+0941, U+093E	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN U, DEVANAGARI VOWEL SIGN AA
तू	795	U+0924, U+0942	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN UU
तू्‍	2	U+0924, U+0942, U+094D, U+200D	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN UU, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
ते	7676	U+0924, U+0947	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN E
ते‍	3	U+0924, U+0947, U+200D	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN E, ZERO WIDTH JOINER
तै	11	U+0924, U+0948	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN AI
तो	1336	U+0924, U+094B	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN O
तो‍	1	U+0924, U+094B, U+200D	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN O, ZERO WIDTH JOINER
तों	26	U+0924, U+094B, U+0902	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA
तौ	3350	U+0924, U+094C	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN AU
त्	3026	U+0924, U+094D	DEVANAGARI LETTER TA, DEVANAGARI SIGN VIRAMA
त्‍	2905	U+0924, U+094D, U+200D	DEVANAGARI LETTER TA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
त्‍‍	31	U+0924, U+094D, U+200D, U+200D	DEVANAGARI LETTER TA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER
त्‍‍‍	2	U+0924, U+094D, U+200D, U+200D, U+200D	DEVANAGARI LETTER TA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER, ZERO WIDTH JOINER
थ	7379	U+0925	DEVANAGARI LETTER THA
थ‍	1	U+0925, U+200D	DEVANAGARI LETTER THA, ZERO WIDTH JOINER
